Iterator Time:10
No.1   Length:0.632555   Redius:1.26511   LeafAmount:0   
No.2   Length:0.675423   Redius:1.35085   LeafAmount:0   
No.3   Length:0.713447   Redius:1.42689   LeafAmount:0   
No.4   Length:0.7478   Redius:1.4956   LeafAmount:0   
No.5   Length:0.779257   Redius:1.55851   LeafAmount:0   
No.6   Length:0.808361   Redius:1.61672   LeafAmount:0   
No.7   Length:0.833181   Redius:1.66636   LeafAmount:0   
No.8   Length:0.858806   Redius:1.71761   LeafAmount:0   
No.9   Length:0.882987   Redius:1.76597   LeafAmount:0   
No.10   Length:0.90361   Redius:1.80722   LeafAmount:0   
No.11   Length:0.749108   Redius:1.49822   LeafAmount:2   
No.12   Length:0.944159   Redius:1.88832   LeafAmount:0   
No.13   Length:0.770126   Redius:1.54025   LeafAmount:2   
No.14   Length:0.978597   Redius:1.95719   LeafAmount:0   
No.15   Length:0.786826   Redius:1.57365   LeafAmount:2   
No.16   Length:1.01328   Redius:2.02656   LeafAmount:0   
No.17   Length:0.812415   Redius:1.62483   LeafAmount:2   
No.18   Length:1.04336   Redius:2.08672   LeafAmount:0   
No.19   Length:0.848094   Redius:1.69619   LeafAmount:2   
No.20   Length:1.07466   Redius:2.14931   LeafAmount:0   
No.21   Length:0.910177   Redius:1.82035   LeafAmount:2   
No.22   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.23   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.24   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.25   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.26   Rule:B(l*0.6,w*0.85,y*0.6)
No.27   Length:0.90361   Redius:1.80722   LeafAmount:0   
No.28   Length:0.749108   Redius:1.49822   LeafAmount:2   
No.29   Length:0.944159   Redius:1.88832   LeafAmount:0   
No.30   Length:0.770126   Redius:1.54025   LeafAmount:2   
No.31   Length:0.978597   Redius:1.95719   LeafAmount:0   
No.32   Length:0.786826   Redius:1.57365   LeafAmount:2   
No.33   Length:1.01328   Redius:2.02656   LeafAmount:0   
No.34   Length:0.812415   Redius:1.62483   LeafAmount:2   
No.35   Length:1.04336   Redius:2.08672   LeafAmount:0   
No.36   Length:0.848094   Redius:1.69619   LeafAmount:2   
No.37   Length:1.07466   Redius:2.14931   LeafAmount:0   
No.38   Length:0.910177   Redius:1.82035   LeafAmount:2   
No.39   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.40   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.41   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.42   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.43   Rule:B(l*0.6,w*0.85,y*0.6)
No.44   Length:0.90361   Redius:1.80722   LeafAmount:0   
No.45   Length:0.749108   Redius:1.49822   LeafAmount:2   
No.46   Length:0.944159   Redius:1.88832   LeafAmount:0   
No.47   Length:0.770126   Redius:1.54025   LeafAmount:2   
No.48   Length:0.978597   Redius:1.95719   LeafAmount:0   
